name;id;nametype;recclass;mass (g);fall;year;reclat;reclong;GeoLocation
Alta'ameem;2284;Valid;LL5;6;Fell;1977;35.273330;44.215560;(35.27333, 44.21556)
Ambapur Nagla;2290;Valid;H5;6,4;Fell;1895;27.666670;78.250000;(27.66667, 78.25)
Andhara;2294;Valid;Stone-uncl;2,7;Fell;1880;26.583330;85.566670;(26.58333, 85.56667)
Andover;2295;Valid;L6;3,2;Fell;1898;44.616670;-70.750000;(44.61667, -70.75)
Andreevka;2296;Valid;L3;600;Fell;1969;48.700000;37.500000;(48.7, 37.5)
Andura;2298;Valid;H6;17,9;Fell;1939;20.883330;76.866670;(20.88333, 76.86667)
Northwest Africa 5815;50693;Valid;L5;256.8;Found;;0.000000;0.000000;(0.0, 0.0)
Angers;2301;Valid;L6;;Fell;1822;47.466670;-0.550000;(47.46667, -0.55)
Angra dos Reis (stone);2302;Valid;Angrite;1,5;Fell;1869;-22.966670;-44.316670;(-22.96667, -44.31667)
Ankober;2304;Valid;H4;6,5;Fell;1942;9.533330;39.716670;(9.53333, 39.71667)
Anlong;2305;Valid;H5;2,5;Fell;1971;25.150000;105.183330;(25.15, 105.18333)
Aomori;2313;Valid;L6;320;Fell;1984;40.810560;140.785560;(40.81056, 140.78556)
Appley Bridge;2318;Valid;LL6;15;Fell;1914;53.583330;-2.716670;(53.58333, -2.71667)
Apt;2320;Valid;L6;3,2;Fell;1803;43.866670;5.383330;(43.86667, 5.38333)
Arbol Solo;2325;Valid;H5;810;Fell;1954;-33.000000;-66.000000;(-33.0, -66.0)
Archie;2329;Valid;H6;5,07;Fell;1932;38.500000;-94.300000;(38.5, -94.3)
Arroyo Aguiar;2340;Valid;H5;7,45;Fell;1950;-31.416670;-60.666670;(-31.41667, -60.66667)
Asco;2345;Valid;H6;41;Fell;1805;42.450000;9.033330;(42.45, 9.03333)
Ash Creek;48954;Valid;L6;9,5;Fell;2009;31.805000;-97.010000;(31.805, -97.01)
Ashdon;2346;Valid;L6;1,3;Fell;1923;52.050000;0.300000;(52.05, 0.3)
Assisi;2353;Valid;H5;2;Fell;1886;43.033330;12.550000;(43.03333, 12.55)
Atarra;4883;Valid;L4;1,28;Fell;1920;25.254170;80.625000;(25.25417, 80.625)
Atemajac;4884;Valid;L6;94.2;Fell;1896;20.066670;-103.666670;(20.06667, -103.66667)
Athens;4885;Valid;LL6;265;Fell;1933;34.750000;-87.000000;(34.75, -87.0)
Atoka;4888;Valid;L6;1,384.2;Fell;1945;34.316670;-96.150000;(34.31667, -96.15)
Aubres;4893;Valid;Aubrite;800;Fell;1836;44.383330;5.166670;(44.38333, 5.16667)
Aumale;4899;Valid;L6;50;Fell;1865;36.166670;3.666670;(36.16667, 3.66667)
Aumieres;4900;Valid;L6;2;Fell;1842;44.333330;3.233330;(44.33333, 3.23333)
Ausson;4903;Valid;L5;50;Fell;1858;43.083330;0.583330;(43.08333, 0.58333)
Avanhandava;4905;Valid;H4;9,33;Fell;1952;-21.460280;-49.950830;(-21.46028, -49.95083)
Avce;4906;Valid;Iron, IIAB;1,23;Fell;1908;46.000000;13.500000;(46.0, 13.5)
Avilez;4907;Valid;H;146;Fell;1855;25.000000;-103.500000;(25.0, -103.5)
Awere;4910;Valid;L4;134;Fell;1968;2.716670;32.833330;(2.71667, 32.83333)
Aztec;4913;Valid;L6;2,83;Fell;1938;36.800000;-108.000000;(36.8, -108.0)
Bachmut;4917;Valid;L6;18;Fell;1814;48.600000;38.000000;(48.6, 38.0)
Bahjoi;4922;Valid;Iron, IAB-sLL;10,322;Fell;1934;28.483330;78.500000;(28.48333, 78.5)
Bald Mountain;4925;Valid;L4;3,7;Fell;1929;35.966670;-82.483330;(35.96667, -82.48333)
Baldwyn;4926;Valid;L6;345;Fell;1922;34.500000;-88.666670;(34.5, -88.66667)
Bali;4928;Valid;CV3;1;Fell;1907;5.383330;16.383330;(5.38333, 16.38333)
Ban Rong Du;4934;Valid;Iron, ungrouped;16,7;Fell;1993;16.666670;101.183330;(16.66667, 101.18333)
Bandong;4935;Valid;LL6;11,5;Fell;1871;-6.916670;107.600000;(-6.91667, 107.6)
Bansur;4936;Valid;L6;15;Fell;1892;27.700000;76.333330;(27.7, 76.33333)
Banswal;4937;Valid;L5;14;Fell;1913;30.400000;78.200000;(30.4, 78.2)
Banten;4938;Valid;CM2;629;Fell;1933;-6.333330;106.000000;(-6.33333, 106.0)
Barbotan;4942;Valid;H5;6,4;Fell;1790;43.950000;-0.050000;(43.95, -0.05)
Barcelona (stone);4944;Valid;OC;;Fell;1704;41.366670;2.166670;(41.36667, 2.16667)
Barea;4946;Valid;Mesosiderite-A1;3,2;Fell;1842;42.383330;-2.500000;(42.38333, -2.5)
Barnaul;4947;Valid;H5;23.2;Fell;1904;52.733330;84.083330;(52.73333, 84.08333)
Barntrup;4948;Valid;LL4;17;Fell;1886;52.000000;9.100000;(52.0, 9.1)
Baroti;4949;Valid;L6;4,5;Fell;1910;31.616670;76.800000;(31.61667, 76.8)
Barwell;4954;Valid;L5;44;Fell;1965;52.565280;-1.339720;(52.56528, -1.33972)
Bassikounou;44876;Valid;H5;29,56;Fell;2006;15.783330;-5.900000;(15.78333, -5.9)
Baszkówka;4957;Valid;L5;15,5;Fell;1994;52.033330;20.935830;(52.03333, 20.93583)
Bath;4974;Valid;H4;21;Fell;1892;45.416670;-98.316670;(45.41667, -98.31667)
Bath Furnace;4975;Valid;L6;86;Fell;1902;38.250000;-83.750000;(38.25, -83.75)
Battle Mountain;56133;Valid;L6;2,9;Fell;2012;40.668130;-117.189130;(40.66813, -117.18913)
Bawku;4976;Valid;LL5;1,557;Fell;1989;11.083330;-0.183330;(11.08333, -0.18333)
Baxter;4977;Valid;L6;611;Fell;1916;36.750000;-93.500000;(36.75, -93.5)
Beardsley;4984;Valid;H5;16;Fell;1929;39.800000;-101.200000;(39.8, -101.2)
Beaver Creek;4986;Valid;H5;14;Fell;1893;51.166670;-117.333330;(51.16667, -117.33333)
Beddgelert;4993;Valid;H5;794;Fell;1949;53.016670;-4.100000;(53.01667, -4.1)
Bells;5005;Valid;C2-ung;375;Fell;1961;33.600000;-96.466670;(33.6, -96.46667)
Belville;5009;Valid;OC;;Fell;1937;-32.333330;-64.866670;(-32.33333, -64.86667)
Benares (a);5011;Valid;LL4;3,7;Fell;1798;25.366670;82.916670;(25.36667, 82.91667)
Benguerir;30443;Valid;LL6;25;Fell;2004;32.250000;-8.150000;(32.25, -8.15)
Beni M'hira;5018;Valid;L6;19;Fell;2001;32.866670;10.800000;(32.86667, 10.8)
Benld;5021;Valid;H6;1,770.5;Fell;1938;39.083330;-89.150000;(39.08333, -89.15)
Benoni;5023;Valid;H6;3,88;Fell;1943;-26.166670;28.416670;(-26.16667, 28.41667)
Bensour;5024;Valid;LL6;45;Fell;2002;30.000000;-7.000000;(30.0, -7.0)
Benton;5026;Valid;LL6;2,84;Fell;1949;45.950000;-67.550000;(45.95, -67.55)
Berduc;48975;Valid;L6;270;Fell;2008;-31.910000;-58.328330;(-31.91, -58.32833)
Béréba;5028;Valid;Eucrite-mmict;18;Fell;1924;11.650000;-3.650000;(11.65, -3.65)
Berlanguillas;5029;Valid;L6;1,44;Fell;1811;41.683330;-3.800000;(41.68333, -3.8)
Berthoud;47355;Valid;Eucrite-mmict;960;Fell;2004;40.305830;-105.023250;(40.30583, -105.02325)
Bethlehem;5032;Valid;H;13.9;Fell;1859;42.533330;-73.833330;(42.53333, -73.83333)
Beuste;5034;Valid;L5;2;Fell;1859;43.216670;-0.233330;(43.21667, -0.23333)
Beyrout;5035;Valid;LL3.8;1,1;Fell;1921;33.883330;35.500000;(33.88333, 35.5)
Bhagur;5037;Valid;L6;18;Fell;1877;20.883330;74.833330;(20.88333, 74.83333)
Bhawad;36591;Valid;LL6;678;Fell;2002;26.508330;73.115280;(26.50833, 73.11528)
Bherai;5039;Valid;L6;100;Fell;1893;20.833330;71.466670;(20.83333, 71.46667)
Bhola;5040;Valid;LL3-6;1,047;Fell;1940;22.683330;90.650000;(22.68333, 90.65)
Bholghati;5041;Valid;Howardite;2,5;Fell;1905;22.083330;86.900000;(22.08333, 86.9)
Bialystok;5042;Valid;Eucrite-pmict;4;Fell;1827;53.100000;23.200000;(53.1, 23.2)
Bielokrynitschie;5043;Valid;H4;1,9;Fell;1887;50.133330;27.166670;(50.13333, 27.16667)
Bilanga;5045;Valid;Diogenite;25;Fell;1999;12.450000;-0.083330;(12.45, -0.08333)
Binningup;5051;Valid;H5;488.1;Fell;1984;-33.156390;115.676390;(-33.15639, 115.67639)
Birni N'konni;5056;Valid;H4;560;Fell;1923;13.766670;5.300000;(13.76667, 5.3)
Bishopville;5059;Valid;Aubrite;6;Fell;1843;34.166670;-80.283330;(34.16667, -80.28333)
Bishunpur;5060;Valid;LL3.15;1,039;Fell;1895;25.383330;82.600000;(25.38333, 82.6)
Bjelaja Zerkov;5063;Valid;H6;1,85;Fell;1796;49.783330;30.166670;(49.78333, 30.16667)
Bjurböle;5064;Valid;L/LL4;330;Fell;1899;60.400000;25.800000;(60.4, 25.8)
Black Moshannan Park;5065;Valid;L5;705;Fell;1941;40.916670;-78.083330;(40.91667, -78.08333)
Blackwell;5068;Valid;L5;2,381;Fell;1906;36.833330;-97.333330;(36.83333, -97.33333)
Blanket;5071;Valid;L6;5,1;Fell;1909;31.833330;-98.833330;(31.83333, -98.83333)
Blansko;5072;Valid;H6;470;Fell;1833;49.366670;16.633330;(49.36667, 16.63333)
Bloomington;5076;Valid;LL6;67.8;Fell;1938;40.480000;-89.004170;(40.48, -89.00417)
Bo Xian;5090;Valid;LL3.9;7,5;Fell;1977;33.833330;115.833330;(33.83333, 115.83333)
Bocas;5093;Valid;L6;56;Fell;1804;23.000000;-102.000000;(23.0, -102.0)
Bogou;5097;Valid;Iron, IAB-MG;8,8;Fell;1962;12.500000;0.700000;(12.5, 0.7)
Boguslavka;5098;Valid;Iron, IIAB;256;Fell;1916;44.550000;131.633330;(44.55, 131.63333)
Borgo San Donino;5110;Valid;LL6;1,676;Fell;1808;44.866670;10.050000;(44.86667, 10.05)
Bori;5111;Valid;L6;8,6;Fell;1894;21.950000;78.033330;(21.95, 78.03333)
Boriskino;5112;Valid;CM2;1,342;Fell;1930;54.233330;52.483330;(54.23333, 52.48333)
Borkut;5113;Valid;L5;7;Fell;1852;48.150000;24.283330;(48.15, 24.28333)
Borodino;5114;Valid;H5;500;Fell;1812;55.466670;35.866670;(55.46667, 35.86667)
Botschetschki;5117;Valid;L4;614;Fell;1823;51.333330;33.883330;(51.33333, 33.88333)
Boumdeid (2003);57168;Valid;L6;190;Fell;2003;17.710670;-11.371500;(17.71067, -11.3715)
Boumdeid (2011);57167;Valid;L6;3,599;Fell;2011;17.174930;-11.341330;(17.17493, -11.34133)
Bovedy;5121;Valid;L3;5,46;Fell;1969;54.566670;-6.333330;(54.56667, -6.33333)
Bradford Woods;5128;Valid;L;762;Fell;1886;40.500000;-80.083330;(40.5, -80.08333)
Braunau;5133;Valid;Iron, IIAB;39;Fell;1847;50.600000;16.300000;(50.6, 16.3)
Breitscheid;5134;Valid;H5;1,5;Fell;1956;50.666940;8.183610;(50.66694, 8.18361)
Bremervörde;5135;Valid;H/L3.9;7,25;Fell;1855;53.400000;9.100000;(53.4, 9.1)
Brient;5140;Valid;Eucrite-pmict;219;Fell;1933;52.133330;59.316670;(52.13333, 59.31667)
Bruderheim;5156;Valid;L6;303;Fell;1960;53.900000;-112.883330;(53.9, -112.88333)
Bukhara;30448;Valid;CV3;5,3;Fell;2001;39.779780;64.600350;(39.77978, 64.60035)
Bulls Run;5163;Valid;Iron?;2,25;Fell;1964;;;
Bunburra Rockhole;48653;Valid;Eucrite;324;Fell;2007;-31.350000;129.190000;(-31.35, 129.19)
Bununu;5165;Valid;Howardite;357;Fell;1942;10.016670;9.583330;(10.01667, 9.58333)
Bur-Gheluai;5169;Valid;H5;120;Fell;1919;5.000000;48.000000;(5.0, 48.0)
Burnwell;5175;Valid;H4-an;1,504;Fell;1990;37.621940;-82.237220;(37.62194, -82.23722)
Bursa;5177;Valid;L6;25;Fell;1946;40.200000;29.233330;(40.2, 29.23333)
Buschhof;5178;Valid;L6;5;Fell;1863;46.450000;25.783330;(46.45, 25.78333)
Bustee;5181;Valid;Aubrite;1,5;Fell;1852;26.783330;82.833330;(26.78333, 82.83333)
Butsura;5183;Valid;H6;29;Fell;1861;27.083330;84.083330;(27.08333, 84.08333)
Buzzard Coulee;48654;Valid;H4;41;Fell;2008;52.996000;-109.848170;(52.996, -109.84817)
Cabezo de Mayo;5185;Valid;L/LL6;25;Fell;1870;37.983330;-1.166670;(37.98333, -1.16667)
Cabin Creek;5186;Valid;Iron, IIIAB;48,5;Fell;1886;35.500000;-93.500000;(35.5, -93.5)
Cacak;5187;Valid;OC;212;Fell;1919;43.838890;20.333330;(43.83889, 20.33333)
Cali;45976;Valid;H/L4;478;Fell;2007;3.405000;-76.510000;(3.405, -76.51)
Calivo;5200;Valid;Stone-uncl;2,4;Fell;1916;11.750000;122.333330;(11.75, 122.33333)
Campos Sales;5249;Valid;L5;23,68;Fell;1991;-7.033330;-40.166670;(-7.03333, -40.16667)
Çanakkale;5250;Valid;L6;4;Fell;1964;39.800000;26.600000;(39.8, 26.6)
Cañellas;5251;Valid;H4;945;Fell;1861;41.250000;1.666670;(41.25, 1.66667)
Cangas de Onis;5252;Valid;H5;34;Fell;1866;43.383330;-5.150000;(43.38333, -5.15)
